subjectID,color,size_delta,contrast,response
S2,TRUE,-0,positive,1
S2,FALSE,0,positive,0
S2,TRUE,10,positive,1
S2,TRUE,70,positive,1
S2,FALSE,80,positive,1
S2,FALSE,-60,positive,0
S2,TRUE,20,positive,1
S2,TRUE,0,positive,1
S2,TRUE,-60,positive,0
S2,TRUE,-20,positive,0
S2,FALSE,30,positive,1
S2,TRUE,-0,positive,0
S2,TRUE,-30,positive,1
S2,FALSE,10,positive,0
S2,TRUE,-70,positive,1
S2,FALSE,40,positive,0
S2,FALSE,40,positive,1
S2,FALSE,50,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,-20,positive,0
S2,FALSE,60,positive,1
S2,FALSE,50,positive,1
S2,TRUE,-80,positive,0
S2,FALSE,40,positive,1
S2,FALSE,-20,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,20,positive,1
S2,FALSE,40,positive,1
S2,TRUE,30,positive,1
S2,FALSE,80,positive,1
S2,FALSE,-40,positive,0
S2,FALSE,-20,positive,1
S2,FALSE,10,positive,0
S2,FALSE,-20,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,-60,positive,0
S2,FALSE,-20,positive,0
S2,TRUE,70,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,-10,positive,0
S2,FALSE,70,positive,1
S2,FALSE,70,positive,0
S2,TRUE,80,positive,1
S2,TRUE,-60,positive,0
S2,TRUE,-20,positive,1
S2,FALSE,-70,positive,1
S2,FALSE,50,positive,0
S2,FALSE,-0,positive,0
S2,FALSE,80,positive,1
S2,FALSE,50,positive,1
S2,TRUE,70,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,40,positive,0
S2,FALSE,0,positive,0
S2,FALSE,40,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,50,positive,1
S2,FALSE,0,positive,0
S2,TRUE,-50,positive,0
S2,FALSE,-20,positive,0
S2,TRUE,0,positive,1
S2,FALSE,-40,positive,0
S2,FALSE,40,positive,1
S2,TRUE,50,positive,1
S2,TRUE,-10,positive,0
S2,FALSE,30,positive,0
S2,TRUE,-70,positive,0
S2,TRUE,30,positive,1
S2,FALSE,60,positive,1
S2,FALSE,80,positive,1
S2,TRUE,60,positive,1
S2,FALSE,-20,positive,0
S2,FALSE,-20,positive,0
S2,TRUE,20,positive,1
S2,TRUE,10,positive,1
S2,TRUE,-10,positive,0
S2,FALSE,-50,positive,1
S2,TRUE,0,positive,1
S2,TRUE,70,positive,1
S2,TRUE,-60,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,-80,positive,0
S2,FALSE,-70,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,0,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,-20,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,-80,positive,0
S2,FALSE,-50,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,40,positive,0
S2,FALSE,10,positive,1
S2,FALSE,20,positive,0
S2,TRUE,0,positive,1
S2,TRUE,30,positive,1
S2,FALSE,-20,positive,0
S2,FALSE,70,positive,1
S2,TRUE,60,positive,1
S2,FALSE,-0,positive,1
S2,TRUE,-40,positive,0
S2,TRUE,-20,positive,1
S2,TRUE,-30,positive,0
S2,TRUE,-70,positive,0
S2,TRUE,80,positive,1
S2,TRUE,-60,positive,1
S2,FALSE,60,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,-70,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-0,positive,1
S2,FALSE,-10,positive,0
S2,FALSE,-80,positive,0
S2,FALSE,-30,positive,1
S2,TRUE,40,positive,1
S2,TRUE,-10,positive,1
S2,TRUE,0,positive,1
S2,TRUE,0,positive,0
S2,FALSE,30,positive,1
S2,FALSE,80,positive,1
S2,TRUE,-50,positive,1
S2,TRUE,-10,positive,0
S2,TRUE,-30,positive,0
S2,TRUE,-50,positive,1
S2,TRUE,80,positive,1
S2,FALSE,10,positive,1
S2,FALSE,-10,positive,0
S2,TRUE,-10,positive,1
S2,FALSE,20,positive,1
S2,TRUE,-70,positive,0
S2,FALSE,-10,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,-50,positive,0
S2,FALSE,-20,positive,1
S2,FALSE,20,positive,0
S2,FALSE,10,positive,1
S2,FALSE,40,positive,0
S2,FALSE,-10,positive,1
S2,FALSE,0,positive,0
S2,FALSE,40,positive,1
S2,FALSE,60,positive,1
S2,FALSE,-50,positive,0
S2,FALSE,-60,positive,0
S2,TRUE,60,positive,1
S2,TRUE,-70,positive,1
S2,FALSE,-20,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,80,positive,1
S2,TRUE,60,positive,1
S2,TRUE,20,positive,0
S2,FALSE,-40,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-10,positive,0
S2,FALSE,10,positive,0
S2,TRUE,-70,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,-50,positive,0
S2,FALSE,-80,positive,0
S2,FALSE,20,positive,1
S2,TRUE,-80,positive,0
S2,FALSE,-10,positive,0
S2,TRUE,-20,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,-70,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,40,positive,1
S2,TRUE,50,positive,1
S2,TRUE,-0,positive,1
S2,TRUE,-80,positive,0
S2,TRUE,-80,positive,1
S2,FALSE,-60,positive,0
S2,TRUE,-30,positive,0
S2,TRUE,0,positive,1
S2,TRUE,-40,positive,0
S2,TRUE,60,positive,1
S2,FALSE,-20,positive,0
S2,TRUE,-20,positive,1
S2,FALSE,10,positive,0
S2,FALSE,-20,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,-40,positive,0
S2,TRUE,10,positive,1
S2,FALSE,-70,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,-20,positive,1
S2,TRUE,70,positive,1
S2,TRUE,60,positive,1
S2,TRUE,-60,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-0,positive,1
S2,FALSE,-40,positive,0
S2,TRUE,-50,positive,0
S2,TRUE,-10,positive,1
S2,TRUE,60,positive,1
S2,TRUE,-10,positive,0
S2,TRUE,10,positive,1
S2,FALSE,-10,positive,0
S2,TRUE,-80,positive,0
S2,FALSE,80,positive,1
S2,FALSE,50,positive,1
S2,FALSE,70,positive,0
S2,FALSE,20,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,0,positive,0
S2,FALSE,80,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,-70,positive,0
S2,FALSE,-70,positive,0
S2,FALSE,-10,positive,0
S2,TRUE,80,positive,1
S2,FALSE,-60,positive,0
S2,FALSE,-60,positive,0
S2,TRUE,30,positive,1
S2,FALSE,80,positive,0
S2,FALSE,-10,positive,0
S2,TRUE,-10,positive,1
S2,FALSE,-60,positive,0
S2,TRUE,0,positive,1
S2,FALSE,80,positive,1
S2,TRUE,-50,positive,0
S2,FALSE,0,positive,0
S2,TRUE,80,positive,1
S2,TRUE,60,positive,1
S2,TRUE,10,positive,1
S2,TRUE,-10,positive,1
S2,TRUE,-80,positive,0
S2,FALSE,-0,positive,0
S2,FALSE,50,positive,1
S2,FALSE,60,positive,1
S2,FALSE,50,positive,1
S2,FALSE,-10,positive,0
S2,TRUE,-50,positive,0
S2,TRUE,20,positive,1
S2,TRUE,-70,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,-30,positive,0
S2,FALSE,80,positive,1
S2,TRUE,30,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,40,positive,1
S2,TRUE,-80,positive,0
S2,FALSE,20,positive,0
S2,TRUE,10,positive,1
S2,TRUE,-80,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-40,positive,0
S2,TRUE,60,positive,1
S2,FALSE,-50,positive,0
S2,FALSE,70,positive,1
S2,TRUE,-40,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,20,positive,1
S2,TRUE,-10,positive,1
S2,TRUE,70,positive,1
S2,TRUE,20,positive,0
S2,FALSE,10,positive,0
S2,FALSE,0,positive,0
S2,FALSE,10,positive,1
S2,TRUE,-60,positive,0
S2,FALSE,50,positive,1
S2,TRUE,-30,positive,1
S2,FALSE,-20,positive,0
S2,TRUE,-70,positive,0
S2,FALSE,20,positive,1
S2,TRUE,70,positive,1
S2,TRUE,-70,positive,0
S2,FALSE,-30,positive,0
S2,TRUE,-30,positive,0
S2,FALSE,50,positive,1
S2,TRUE,-70,positive,0
S2,FALSE,-10,positive,1
S2,FALSE,10,positive,0
S2,FALSE,70,positive,1
S2,TRUE,-20,positive,1
S2,TRUE,30,positive,1
S2,TRUE,50,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,-30,positive,1
S2,FALSE,-60,positive,0
S2,TRUE,-50,positive,0
S2,TRUE,-50,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,50,positive,1
S2,FALSE,-40,positive,0
S2,TRUE,-10,positive,1
S2,TRUE,80,positive,1
S2,TRUE,-60,positive,0
S2,TRUE,60,positive,1
S2,TRUE,-20,positive,1
S2,FALSE,20,positive,0
S2,FALSE,-0,positive,0
S2,FALSE,80,positive,1
S2,TRUE,-10,positive,1
S2,FALSE,-70,positive,0
S2,FALSE,10,positive,0
S2,FALSE,-40,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,50,positive,1
S2,FALSE,-20,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,-80,positive,1
S2,TRUE,70,positive,1
S2,TRUE,-0,positive,0
S2,FALSE,10,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,10,positive,0
S2,TRUE,-80,positive,0
S2,FALSE,50,positive,0
S2,FALSE,-30,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,50,positive,1
S2,FALSE,-30,positive,0
S2,FALSE,30,positive,0
S2,FALSE,50,positive,0
S2,FALSE,-10,positive,1
S2,FALSE,-40,positive,0
S2,FALSE,50,positive,1
S2,FALSE,0,positive,0
S2,FALSE,20,positive,1
S2,FALSE,10,positive,1
S2,TRUE,80,positive,1
S2,FALSE,-60,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,70,positive,1
S2,TRUE,50,positive,1
S2,TRUE,-60,positive,0
S2,FALSE,0,positive,1
S2,TRUE,-20,positive,0
S2,TRUE,60,positive,1
S2,FALSE,70,positive,1
S2,TRUE,-20,positive,0
S2,FALSE,40,positive,1
S2,TRUE,-50,positive,0
S2,TRUE,-0,positive,1
S2,FALSE,80,positive,1
S2,FALSE,20,positive,0
S2,TRUE,10,positive,1
S2,TRUE,-0,positive,1
S2,TRUE,50,positive,1
S2,FALSE,80,positive,1
S2,FALSE,50,positive,1
S2,FALSE,-70,positive,0
S2,FALSE,60,positive,1
S2,FALSE,0,positive,1
S2,TRUE,60,positive,1
S2,TRUE,50,positive,1
S2,FALSE,0,positive,1
S2,FALSE,-70,positive,0
S2,FALSE,-70,positive,0
S2,FALSE,-30,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,-20,positive,0
S2,FALSE,-40,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-20,positive,0
S2,FALSE,0,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,0,positive,1
S2,TRUE,-70,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,-50,positive,1
S2,TRUE,40,positive,1
S2,FALSE,-50,positive,0
S2,TRUE,-60,positive,0
S2,FALSE,10,positive,1
S2,FALSE,40,positive,0
S2,TRUE,0,positive,1
S2,FALSE,-70,positive,0
S2,TRUE,50,positive,1
S2,FALSE,20,positive,0
S2,TRUE,60,positive,1
S2,TRUE,-70,positive,1
S2,TRUE,-50,positive,0
S2,FALSE,60,positive,1
S2,TRUE,60,positive,1
S2,TRUE,10,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,10,positive,1
S2,FALSE,-20,positive,0
S2,TRUE,-70,positive,0
S2,TRUE,80,positive,1
S2,FALSE,-10,positive,0
S2,TRUE,20,positive,1
S2,TRUE,-30,positive,1
S2,FALSE,10,positive,0
S2,FALSE,50,positive,1
S2,FALSE,60,positive,1
S2,TRUE,-60,positive,0
S2,TRUE,10,positive,1
S2,FALSE,70,positive,1
S2,TRUE,0,positive,1
S2,TRUE,-20,positive,1
S2,TRUE,20,positive,1
S2,TRUE,60,positive,1
S2,FALSE,70,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,10,positive,0
S2,TRUE,-10,positive,0
S2,FALSE,50,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,-40,positive,0
S2,TRUE,0,positive,1
S2,TRUE,0,positive,0
S2,FALSE,40,positive,1
S2,TRUE,-70,positive,0
S2,FALSE,70,positive,1
S2,TRUE,40,positive,1
S2,TRUE,20,positive,0
S2,FALSE,-10,positive,0
S2,TRUE,-20,positive,1
S2,TRUE,10,positive,1
S2,FALSE,-60,positive,0
S2,FALSE,30,positive,1
S2,FALSE,40,positive,0
S2,FALSE,-60,positive,0
S2,TRUE,-20,positive,1
S2,TRUE,60,positive,1
S2,FALSE,30,positive,0
S2,FALSE,60,positive,0
S2,TRUE,50,positive,1
S2,TRUE,60,positive,1
S2,TRUE,-30,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,10,positive,1
S2,FALSE,-20,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,30,positive,1
S2,TRUE,60,positive,1
S2,FALSE,80,positive,1
S2,TRUE,50,positive,1
S2,TRUE,-20,positive,1
S2,FALSE,0,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,50,positive,1
S2,FALSE,-70,positive,0
S2,FALSE,80,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,-10,positive,1
S2,FALSE,80,positive,1
S2,FALSE,40,positive,0
S2,TRUE,-50,positive,0
S2,TRUE,70,positive,1
S2,FALSE,50,positive,0
S2,FALSE,50,positive,1
S2,TRUE,0,positive,1
S2,FALSE,30,positive,1
S2,FALSE,30,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,80,positive,1
S2,FALSE,20,positive,0
S2,TRUE,0,positive,1
S2,TRUE,-40,positive,0
S2,FALSE,-50,positive,0
S2,FALSE,-60,positive,1
S2,TRUE,10,positive,0
S2,TRUE,-60,positive,1
S2,TRUE,10,positive,1
S2,TRUE,0,positive,1
S2,TRUE,40,positive,1
S2,FALSE,40,positive,1
S2,TRUE,0,positive,1
S2,TRUE,60,positive,1
S2,TRUE,10,positive,1
S2,TRUE,-10,positive,0
S2,TRUE,-60,positive,0
S2,TRUE,40,positive,1
S2,FALSE,-10,positive,0
S2,TRUE,70,positive,1
S2,TRUE,70,positive,1
S2,TRUE,10,positive,1
S2,TRUE,-50,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,-10,positive,0
S2,FALSE,60,positive,1
S2,FALSE,80,positive,1
S2,TRUE,0,positive,1
S2,FALSE,-10,positive,1
S2,FALSE,30,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,0,positive,0
S2,FALSE,-80,positive,0
S2,FALSE,-30,positive,0
S2,FALSE,30,positive,1
S2,TRUE,10,positive,1
S2,FALSE,0,positive,1
S2,TRUE,-30,positive,1
S2,FALSE,60,positive,1
S2,TRUE,-50,positive,0
S2,TRUE,60,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,80,positive,1
S2,FALSE,0,positive,0
S2,TRUE,0,positive,1
S2,TRUE,-0,positive,1
S2,FALSE,-80,positive,0
S2,TRUE,50,positive,1
S2,TRUE,-60,positive,0
S2,FALSE,-50,positive,0
S2,FALSE,-10,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,40,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,50,positive,1
S2,FALSE,50,positive,1
S2,TRUE,30,positive,1
S2,FALSE,-70,positive,0
S2,TRUE,-30,positive,0
S2,TRUE,10,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,-20,positive,0
S2,TRUE,80,positive,1
S2,TRUE,0,positive,0
S2,TRUE,70,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,20,positive,1
S2,TRUE,20,positive,1
S2,TRUE,-50,positive,0
S2,TRUE,70,positive,1
S2,FALSE,-0,positive,1
S2,TRUE,-20,positive,0
S2,FALSE,80,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,-40,positive,0
S2,FALSE,-70,positive,0
S2,FALSE,40,positive,1
S2,TRUE,80,positive,1
S2,TRUE,0,positive,0
S2,FALSE,80,positive,1
S2,TRUE,40,positive,1
S2,FALSE,70,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,30,positive,1
S2,TRUE,-50,positive,0
S2,TRUE,40,positive,1
S2,FALSE,60,positive,1
S2,FALSE,-20,positive,0
S2,TRUE,0,positive,0
S2,FALSE,60,positive,1
S2,FALSE,-50,positive,0
S2,TRUE,-40,positive,0
S2,FALSE,-50,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,20,positive,1
S2,TRUE,10,positive,0
S2,TRUE,30,positive,1
S2,FALSE,30,positive,0
S2,FALSE,40,positive,1
S2,FALSE,70,positive,1
S2,TRUE,70,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,0,positive,0
S2,TRUE,-30,positive,1
S2,FALSE,-60,positive,0
S2,FALSE,-60,positive,0
S2,TRUE,0,positive,1
S2,FALSE,-30,positive,0
S2,FALSE,60,positive,1
S2,FALSE,20,positive,0
S2,FALSE,40,positive,1
S2,FALSE,50,positive,1
S2,TRUE,-20,positive,1
S2,TRUE,0,positive,1
S2,TRUE,40,positive,1
S2,FALSE,-0,positive,0
S2,TRUE,0,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,40,positive,1
S2,TRUE,50,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,-0,positive,1
S2,FALSE,-30,positive,1
S2,FALSE,20,positive,0
S2,FALSE,80,positive,1
S2,FALSE,50,positive,1
S2,TRUE,-0,positive,1
S2,TRUE,-80,positive,0
S2,FALSE,-10,positive,0
S2,TRUE,-30,positive,1
S2,FALSE,70,positive,1
S2,TRUE,50,positive,1
S2,FALSE,30,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,-10,positive,0
S2,FALSE,20,positive,0
S2,FALSE,-0,positive,1
S2,FALSE,-70,positive,0
S2,TRUE,40,positive,1
S2,FALSE,-20,positive,0
S2,FALSE,40,positive,1
S2,FALSE,20,positive,1
S2,TRUE,30,positive,1
S2,TRUE,-20,positive,0
S2,FALSE,10,positive,1
S2,TRUE,-80,positive,0
S2,TRUE,50,positive,1
S2,FALSE,10,positive,0
S2,FALSE,40,positive,1
S2,FALSE,50,positive,0
S2,FALSE,-30,positive,0
S2,FALSE,60,positive,0
S2,FALSE,-60,positive,0
S2,TRUE,60,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,50,positive,0
S2,TRUE,50,positive,1
S2,FALSE,-10,positive,0
S2,TRUE,-0,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,-40,positive,0
S2,TRUE,40,positive,1
S2,TRUE,-30,positive,0
S2,FALSE,-0,positive,0
S2,TRUE,0,positive,1
S2,TRUE,-10,positive,1
S2,TRUE,70,positive,1
S2,TRUE,-10,positive,0
S2,FALSE,70,positive,1
S2,FALSE,-40,positive,0
S2,TRUE,-20,positive,1
S2,TRUE,70,positive,1
S2,TRUE,-20,positive,0
S2,FALSE,0,positive,0
S2,TRUE,50,positive,1
S2,TRUE,0,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,10,positive,1
S2,TRUE,-40,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,-50,positive,0
S2,FALSE,-40,positive,0
S2,TRUE,-30,positive,1
S2,FALSE,0,positive,1
S2,FALSE,20,positive,1
S2,TRUE,-20,positive,1
S2,FALSE,-30,positive,0
S2,TRUE,-80,positive,0
S2,TRUE,-50,positive,0
S2,FALSE,-80,positive,0
S2,TRUE,-40,positive,0
S2,TRUE,40,positive,1
S2,TRUE,60,positive,1
S2,FALSE,-50,positive,0
S2,FALSE,-10,positive,0
S2,FALSE,30,positive,0
S2,FALSE,70,positive,1
S2,FALSE,30,positive,1
S2,FALSE,-0,positive,0
S2,FALSE,-70,positive,0
S2,TRUE,-80,positive,0
S2,FALSE,0,positive,0
S2,FALSE,60,positive,0
S2,FALSE,-50,positive,0
S2,TRUE,10,positive,1
S2,TRUE,-40,positive,1
S2,FALSE,-50,positive,0
S2,FALSE,30,positive,1
S2,TRUE,20,positive,1
S2,FALSE,20,positive,1
S2,FALSE,0,positive,0
S2,FALSE,-30,positive,0
S2,FALSE,-0,positive,0
S2,TRUE,40,positive,1
S2,FALSE,-50,positive,0
S2,TRUE,-30,positive,1
S2,TRUE,0,positive,1
S2,FALSE,-20,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,-60,positive,0
S2,TRUE,70,positive,1
S2,TRUE,-60,positive,0
S2,TRUE,-40,positive,1
S2,TRUE,40,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,40,positive,1
S2,FALSE,80,positive,1
S2,FALSE,-40,positive,0
S2,TRUE,0,positive,0
S2,FALSE,20,positive,1
S2,FALSE,30,positive,0
S2,FALSE,80,positive,1
S2,TRUE,-10,positive,1
S2,FALSE,-20,positive,0
S2,FALSE,40,positive,1
S2,TRUE,70,positive,1
S2,FALSE,-40,positive,0
S2,TRUE,-20,positive,0
S2,FALSE,0,positive,0
S2,TRUE,-50,positive,0
S2,TRUE,-0,positive,1
S2,FALSE,30,positive,1
S2,FALSE,80,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,-60,positive,0
S2,FALSE,-10,positive,0
S2,TRUE,20,positive,1
S2,TRUE,40,positive,0
S2,TRUE,-50,positive,0
S2,FALSE,10,positive,0
S2,TRUE,30,positive,0
S2,FALSE,-70,positive,0
S2,FALSE,20,positive,1
S2,FALSE,-70,positive,0
S2,FALSE,-80,positive,0
S2,FALSE,-80,positive,0
S2,FALSE,60,positive,1
S2,TRUE,0,positive,1
S2,FALSE,-80,positive,0
S2,FALSE,-0,positive,0
S2,TRUE,-60,positive,0
S2,TRUE,0,positive,1
S2,TRUE,20,positive,1
S2,FALSE,-10,positive,0
S2,TRUE,-30,positive,1
S2,FALSE,-60,positive,0
S2,TRUE,-20,positive,0
S2,FALSE,70,positive,1
S2,TRUE,-40,positive,0
S2,TRUE,0,positive,1
S2,FALSE,70,positive,1
S2,TRUE,-70,positive,0
S2,TRUE,-30,positive,0
S2,FALSE,30,positive,0
S2,TRUE,0,positive,0
S2,TRUE,-80,positive,0
S2,FALSE,-60,positive,0
S2,TRUE,-30,positive,0
S2,TRUE,20,positive,0
S2,TRUE,-0,positive,0
S2,FALSE,30,positive,0
S2,FALSE,60,positive,1
S2,TRUE,30,positive,0
S2,TRUE,0,positive,1
S2,FALSE,40,positive,0
S2,TRUE,-30,positive,0
S2,FALSE,20,positive,0
S2,FALSE,70,positive,1
S2,TRUE,80,positive,1
S2,FALSE,80,positive,1
S2,FALSE,0,positive,0
S2,TRUE,20,positive,1
S2,FALSE,50,positive,1
S2,TRUE,40,positive,1
S2,FALSE,-0,positive,1
S2,TRUE,50,positive,1
S2,FALSE,0,positive,1
S2,TRUE,-0,positive,0
S2,FALSE,-60,positive,0
S2,FALSE,-30,positive,0
S2,FALSE,-20,positive,0
S2,TRUE,0,positive,0
S2,TRUE,10,positive,1
S2,FALSE,-50,positive,1
S3,TRUE,-40,positive,0
S3,TRUE,60,positive,1
S3,FALSE,-30,positive,0
S3,FALSE,-30,positive,0
S3,TRUE,-60,positive,0
S3,FALSE,70,positive,1
S3,TRUE,-80,positive,0
S3,TRUE,-50,positive,0
S3,TRUE,0,positive,0
S3,FALSE,20,positive,0
S3,TRUE,-40,positive,0
S3,TRUE,-40,positive,1
S3,FALSE,80,positive,1
S3,TRUE,10,positive,0
S3,TRUE,10,positive,1
S3,TRUE,40,positive,1
S3,FALSE,30,positive,1
S3,TRUE,50,positive,1
S3,TRUE,50,positive,1
S3,TRUE,0,positive,1
S3,FALSE,-80,positive,0
S3,FALSE,-30,positive,0
S3,FALSE,30,positive,1
S3,TRUE,40,positive,1
S3,TRUE,40,positive,1
S3,TRUE,-40,positive,1
S3,TRUE,10,positive,0
S3,TRUE,-50,positive,0
S3,TRUE,40,positive,1
S3,FALSE,30,positive,1
S3,FALSE,-20,positive,0
S3,TRUE,60,positive,1
S3,TRUE,70,positive,1
S3,TRUE,-40,positive,0
S3,TRUE,-40,positive,0
S3,TRUE,80,positive,1
S3,FALSE,30,positive,0
S3,TRUE,-70,positive,0
S3,TRUE,-0,positive,0
S3,FALSE,40,positive,1
